FID;FTYPE;DATE;TIMESTAMP;MACHINE;LANE;STAGE;OUTPUT;MJSID;LOTNAME;LOTNUMBER;SERIAL;PRODUCTID;PRODUCT;FID;BNDRcgStop;BNDStop;Board;BRcgStop;Bwait;CDErr;CMErr;CnvStop;CPErr;CRErr;CTErr;Cwait;FBStop;Fwait;JointPassWait;JudgeStop;LotBoard;LotModule;McFwait;McRwait;MHRcgStop;Module;OtherLStop;OthrStop;Pwait;Rwait;SCEStop;SCStop;Swait;TDispense;TDMiss;THMiss;TMMiss;TPickup;TPMiss;TPriming;Trbl;TRMiss;TRSErr;TRSMiss
57;u01;20130830025011775;1377849011;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525687;233;PTA635AA001_BA001_CA001_RSA635BA001_4;57;0;0;779;0;0;0;0;0;0;0;0;0;0;44;0;0;779;779;11;722;0;779;720;0;0;935;0;2;0;0;0;0;0;117647;17;0;0;1;0;0
58;u01;20130830054900257;1377859740;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525896;233;PTA635AA001_BA001_CA001_RSA635BA001_4;58;0;0;988;0;0;0;0;0;0;0;0;0;0;44;0;0;988;988;11;927;0;988;920;0;0;1231;1;5;0;0;0;0;0;149216;26;0;0;2;0;0
59;u01;20130830044247703;1377855767;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525968;232;PTA635AA001_BA001_CA001_RRA635BA001_3;59;0;0;1054;0;0;0;0;0;0;0;0;0;0;12;0;0;1054;1054;11;866;0;1054;473;1;0;1277;0;3;0;0;0;4;0;199272;53;0;0;9;0;0
60;u01;20130830035830920;1377853110;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525770;233;PTA635AA001_BA001_CA001_RSA635BA001_4;60;0;0;862;0;0;0;0;0;0;0;0;0;0;44;0;0;862;862;11;807;0;862;799;0;0;1050;0;2;0;0;0;0;0;130184;21;0;0;1;0;0
61;u01;20130830035509218;1377852909;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525765;233;PTA635AA001_BA001_CA001_RSA635BA001_4;61;0;0;857;0;0;0;0;0;0;0;0;0;0;44;0;0;857;857;11;807;0;857;794;0;0;1043;0;2;0;0;0;0;0;129427;19;0;0;1;0;0
62;u01;20130830011712086;1377843432;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525576;233;PTA635AA001_BA001_CA001_RSA635BA001_4;62;0;0;668;0;0;0;0;0;0;0;0;0;0;41;0;0;668;668;11;614;0;668;618;0;0;798;0;2;0;0;0;0;0;100884;15;0;0;1;0;0
63;u01;20130830050513706;1377857113;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525997;232;PTA635AA001_BA001_CA001_RRA635BA001_3;63;0;0;1083;0;0;0;0;0;0;0;0;0;0;12;0;0;1083;1083;11;892;0;1083;489;1;0;1316;0;3;0;0;0;4;0;204753;53;0;0;9;0;0
64;u01;20130830060933036;1377860973;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526061;232;PTA635AA001_BA001_CA001_RRA635BA001_3;64;0;0;1147;0;0;0;0;0;0;0;0;0;0;12;0;0;1147;1147;11;945;0;1147;528;1;1;1396;0;5;0;0;0;4;0;216852;56;0;0;9;0;0
65;u01;20130830031459923;1377850499;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525719;233;PTA635AA001_BA001_CA001_RSA635BA001_4;65;0;0;811;0;0;0;0;0;0;0;0;0;0;44;0;0;811;811;11;767;0;811;751;0;0;980;0;2;0;0;0;0;0;122479;17;0;0;1;0;0
66;u01;20130830042311904;1377854591;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525803;233;PTA635AA001_BA001_CA001_RSA635BA001_4;66;0;0;895;0;0;0;0;0;0;0;0;0;0;44;0;0;895;895;11;845;0;895;831;0;0;1103;0;2;0;0;0;0;0;135170;23;0;0;2;0;0
67;u01;20130830055030902;1377859830;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525898;233;PTA635AA001_BA001_CA001_RSA635BA001_4;67;0;0;990;0;0;0;0;0;0;0;0;0;0;44;0;0;990;990;11;929;0;990;922;0;0;1235;1;5;0;0;0;0;0;149518;26;0;0;2;0;0
68;u01;20130830014642541;1377845202;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525753;232;PTA635AA001_BA001_CA001_RRA635BA001_3;68;0;0;839;0;0;0;0;0;0;0;0;0;0;12;0;0;839;839;11;653;0;839;370;0;0;1008;0;2;0;0;0;4;0;158628;46;0;0;7;0;0
69;u01;20130830043426786;1377855266;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525818;233;PTA635AA001_BA001_CA001_RSA635BA001_4;69;0;0;910;0;0;0;0;0;0;0;0;0;0;44;0;0;910;910;11;861;0;910;846;0;0;1125;0;2;0;0;0;0;0;137435;23;0;0;2;0;0
70;u01;20130830051738317;1377857858;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525864;233;PTA635AA001_BA001_CA001_RSA635BA001_4;70;0;0;956;0;0;0;0;0;0;0;0;0;0;44;0;0;956;956;11;899;0;956;890;0;0;1190;1;5;0;0;0;0;0;144382;24;0;0;2;0;0
71;u01;20130830041410551;1377854050;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525791;233;PTA635AA001_BA001_CA001_RSA635BA001_4;71;0;0;883;0;0;0;0;0;0;0;0;0;0;44;0;0;883;883;11;827;0;883;819;0;0;1085;0;2;0;0;0;0;0;133357;22;0;0;2;0;0
72;u01;20130830000509185;1377839109;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525633;232;PTA635AA001_BA001_CA001_RRA635BA001_3;72;0;0;719;0;0;0;0;0;0;0;0;0;0;12;0;0;719;719;11;512;0;719;325;0;0;848;0;0;0;0;0;3;0;135941;41;0;0;6;0;0
73;u01;20130830070259117;1377864179;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526121;232;PTA635AA001_BA001_CA001_RRA635BA001_3;73;0;0;1207;0;0;0;0;0;0;0;0;0;0;12;0;0;1207;1207;11;967;0;1207;563;1;1;1455;0;5;0;0;0;5;0;228198;59;0;0;11;0;0
