START TABLE: product_data
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
PRODUCT_DATA	PRODUCT_ID	1	108	numeric	38
PRODUCT_DATA	PRODUCT_NAME	0	231	nvarchar	0
PRODUCT_DATA	DOS_PRODUCT_NAME	0	231	nvarchar	0
PRODUCT_DATA	PATTERNS_PER_PANEL	0	108	numeric	38
PRODUCT_DATA	PANEL_WIDTH	0	108	numeric	38
PRODUCT_DATA	PANEL_LENGTH	0	108	numeric	38
PRODUCT_DATA	PANEL_THICKNESS	0	108	numeric	38
PRODUCT_DATA	CAMERA_XAXIS_TOP	0	108	numeric	38
PRODUCT_DATA	CAMERA_YAXIS_TOP	0	108	numeric	38
PRODUCT_DATA	CAMERA_XAXIS_BOTTOM	0	108	numeric	38
PRODUCT_DATA	CAMERA_YAXIS_BOTTOM	0	108	numeric	38
PRODUCT_DATA	TOOLING_PIN_DISTANCE	0	108	numeric	38
PRODUCT_DATA	BARCODES_PER_PANEL	0	108	numeric	38
PRODUCT_DATA	PRODUCT_VALID_FLAG	0	231	nvarchar	0
PRODUCT_DATA	TOOLING_PIN	0	231	nvarchar	0
PRODUCT_DATA	CONVEYOR_SPEED	0	108	numeric	38
PRODUCT_DATA	USE_BRD_FILE	0	231	nvarchar	0
PRODUCT_DATA	BASE_PRODUCT_ID	0	108	numeric	38
END METADATA:
START DATA:
PRODUCT_ID	PRODUCT_NAME	DOS_PRODUCT_NAME	PATTERNS_PER_PANEL	PANEL_WIDTH	PANEL_LENGTH	PANEL_THICKNESS	CAMERA_XAXIS_TOP	CAMERA_YAXIS_TOP	CAMERA_XAXIS_BOTTOM	CAMERA_YAXIS_BOTTOM	TOOLING_PIN_DISTANCE	BARCODES_PER_PANEL	PRODUCT_VALID_FLAG	TOOLING_PIN	CONVEYOR_SPEED	USE_BRD_FILE	BASE_PRODUCT_ID
1098	RSA307AA002	RSA307AA002	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1099	RRA305AA_12W49	RRA305AA_12W49	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1100	RSA305AA_12W49	RSA305AA_12W49	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1101	RRA305BA_12W49	RRA305BA_12W49	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1102	RSA305BA_12W49	RSA305BA_12W49	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1103	RRA426AA001	RRA426AA001	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1104	RSA426AA001	RSA426AA001	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1105	RRA305AA005	RRA305AA005	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1106	RSA305AA005	RSA305AA005	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1107	RRA305BA005	RRA305BA005	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1108	RSA305BA005	RSA305BA005	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1109	RRA419AA002	RRA419AA002	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1110	RSA419AA002	RSA419AA002	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1111	RRA309AA002	RRA309AA002	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1112	RSA309AA002	RSA309AA002	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1113	RRA419AA003	RRA419AA003	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1114	RSA419AA003	RSA419AA003	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1115	RRA291AA001	RRA291AA001	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1116	RSA291AA001	RSA291AA001	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1117	RRA291AA002	RRA291AA002	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1118	RSA291AA002	RSA291AA002	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1119	RRA038FA000	RRA038FA000	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1120	RSA038FA000	RSA038FA000	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1121	RRA419DA000	RRA419DA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1122	RSA419DA000	RSA419DA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1123	RRA038FA001	RRA038FA001.PCB	2	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1124	RSA038FA001	RSA038FA001.PCB	2	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1125	RRA038EA000_1	RRA038EA000_1.PCB	2	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1126	RSA038EA000_1	RSA038EA000_1.PCB	2	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1127	RRA038GA001	RRA038GA001.PCB	2	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1128	RSA038GA001	RSA038GA001.PCB	2	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1129	RRA038MA001	RRA038MA001.PCB	2	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1130	RSA038MA001	RSA038MA001.PCB	2	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1131	RRA290BA000	RRA290BA000.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1132	RSA290BA000	RSA290BA000.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1133	RRA292BA000	RRA292BA000.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1134	RSA292BA000	RSA292BA000.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1135	RRA290BA001	RRA290BA001.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1136	RSA290BA001	RSA290BA001.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1137	RRA291AA003	RRA291AA003.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1138	RSA291AA003	RSA291AA003.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1139	RRA291AA004	RRA291AA004.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1140	RSA291AA004	RSA291AA004.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1141	RRA290BA002	RRA290BA002.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1142	RSA290BA002	RSA290BA002.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1143	RRA291AA005	RRA291AA005	1	156	193.5	1.6	0	0	0	0	0	1	T	F	0	T	NULL
1144	RSA291AA005	RSA291AA005	1	156	193.5	1.6	0	0	0	0	0	1	T	F	0	T	NULL
1145	RRA290BA003	RRA290BA003.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1146	RSA290BA003	RSA290BA003.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1147	RRA639AA000	RRA639AA000	1	156	120	1.6	0	0	0	0	0	1	T	F	0	T	NULL
1148	RSA639AA000	RSA639AA000	1	156	120	1.6	0	0	0	0	0	1	T	F	0	T	NULL
1149	RRA638AA000	RRA638AA000.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1150	RSA638AA000	RSA638AA000.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1151	RRA639AA001	RRA639AA001.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1152	RSA639AA001	RSA639AA001.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1153	RRA635BA000	RRA635BA000.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1154	BR0748AA000	BR0748AA000.PCB	2	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1155	RR0747DA000	RR0747DA000.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1156	RS0747DA000	RS0747DA000.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1157	BR0749BA000	BR0749BA000.PCB	2	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1158	BR4636CA000	BR4636CA000.PCB	2	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1159	RSA638ASAC	RSA638ASAC.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1160	RR3048AINS	RR3048AINS.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1161	RR3083INS	RR3083INS.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1162	RR3085AINS	RR3085AINS.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1163	RR3094AINS	RR3094AINS.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1164	RR3142INS	RR3142INS.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1165	RR3154BINS	RR3154BINS.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1166	RR3174AINS	RR3174AINS.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1167	RR3184BINS	RR3184BINS.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1168	RR3185AINS	RR3185AINS.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1169	RR3195AINS	RR3195AINS.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1170	RR3209AINS	RR3209AINS.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1171	RR3213BINS	RR3213BINS.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1172	RR3222INS	RR3222INS.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1173	RR3231INS	RR3231INS.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1174	RR3235INS	RR3235INS.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
1175	RR3245AINS	RR3245AINS.PCB	1	0	0	0	0	0	0	0	0	1	T	F	0	T	NULL
