START TABLE: nc_placement_detail
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
NC_PLACEMENT_DETAIL	NC_PLACEMENT_ID	1	108	numeric	38
NC_PLACEMENT_DETAIL	IDNUM	0	108	numeric	38
NC_PLACEMENT_DETAIL	REF_DESIGNATOR	0	231	nvarchar	0
NC_PLACEMENT_DETAIL	PART_NAME	0	262	udt_part_no	0
NC_PLACEMENT_DETAIL	PATTERN_NUMBER	0	108	numeric	38
NC_PLACEMENT_DETAIL	NC_VERSION	0	108	numeric	38
NC_PLACEMENT_DETAIL	PATTERN_IDNUM	0	108	numeric	38
END METADATA:
START DATA:
NC_PLACEMENT_ID	IDNUM	REF_DESIGNATOR	PART_NAME	PATTERN_NUMBER	NC_VERSION	PATTERN_IDNUM
2000002	103	U2002	13E5-2002	1	148309	NULL
2000003	105	U2003	13E5-2003	1	148309	NULL
2000004	108	U2004	13E5-2004	1	148309	NULL
2000005	110	U2005	13E5-2005	1	148309	NULL
2000006	117	U2006	13E5-2006	1	148309	NULL
2000007	119	U2007	13E5-2007	1	148309	NULL
2000008	127	U2008	13E5-2008	1	148309	NULL
2000009	129	U2009	13E5-2009	1	148309	NULL
2000010	133	U2010	13E5-2010	1	148309	NULL
2000011	134	U2011	13E5-2011	1	148309	NULL
2000012	135	U2012	13E5-2012	1	148309	NULL
2000013	136	U2013	13E5-2013	1	148309	NULL
2000014	137	U2014	13E5-2014	1	148309	NULL
2000015	138	U2015	13E5-2015	1	148309	NULL
2000016	139	U2016	13E5-2016	1	148309	NULL
2000017	140	U2017	13E5-2017	1	148309	NULL
2000018	141	U2018	13E5-2018	1	148309	NULL
2000019	142	U2019	13E5-2019	1	148309	NULL
2000020	143	U2020	13E5-2020	1	148309	NULL
2000021	144	U2021	13E5-2021	1	148309	NULL
2000022	145	U2022	13E5-2022	1	148309	NULL
2000023	146	U2023	13E5-2023	1	148309	NULL
2000024	147	U2024	13E5-2024	1	148309	NULL
2000025	148	U2025	13E5-2025	1	148309	NULL
2000026	149	U2026	13E5-2026	1	148309	NULL
2000027	150	U2027	13E5-2027	1	148309	NULL
2000028	151	U2028	13E5-2028	1	148309	NULL
2000029	153	U2029	13E5-2029	1	148309	NULL
2000030	156	U2030	13E5-2030	1	148309	NULL
2000031	158	U2031	13E5-2031	1	148309	NULL
2000032	160	U2032	13E5-2032	1	148309	NULL
2000033	168	U2033	13E5-2033	1	148309	NULL
2000034	170	U2034	13E5-2034	1	148309	NULL
2000035	171	U2035	13E5-2035	1	148309	NULL
2000036	172	U2036	13E5-2036	1	148309	NULL
2000037	173	U2037	13E5-2037	1	148309	NULL
2000038	178	U2038	13E5-2038	1	148309	NULL
2000039	180	U2039	13E5-2039	1	148309	NULL
2000040	182	U2040	13E5-2040	1	148309	NULL
2000041	184	U2041	13E5-2041	1	148309	NULL
2000042	188	U2042	13E5-2042	1	148309	NULL
2000043	190	U2043	13E5-2043	1	148309	NULL
2000044	196	U2044	13E5-2044	1	148309	NULL
2000045	198	U2045	13E5-2045	1	148309	NULL
2000046	21	U2046	13E5-2046	1	148309	NULL
2000047	29	U2047	13E5-2047	1	148309	NULL
2000048	30	U2048	13E5-2048	1	148309	NULL
2000049	31	U2049	13E5-2049	1	148309	NULL
2000050	318	U2050	13E5-2050	1	148309	NULL
2000051	32	U2051	13E5-2051	1	148309	NULL
2000052	322	U2052	13E5-2052	1	148309	NULL
2000053	325	U2053	13E5-2053	1	148309	NULL
2000054	329	U2054	13E5-2054	1	148309	NULL
2000055	33	U2055	13E5-2055	1	148309	NULL
2000056	361	U2056	13E5-2056	1	148309	NULL
2000057	364	U2057	13E5-2057	1	148309	NULL
2000058	365	U2058	13E5-2058	1	148309	NULL
2000059	368	U2059	13E5-2059	1	148309	NULL
2000060	369	U2060	13E5-2060	1	148309	NULL
2000061	371	U2061	13E5-2061	1	148309	NULL
2000062	373	U2062	13E5-2062	1	148309	NULL
2000063	374	U2063	13E5-2063	1	148309	NULL
2000064	375	U2064	13E5-2064	1	148309	NULL
2000065	376	U2065	13E5-2065	1	148309	NULL
2000066	377	U2066	13E5-2066	1	148309	NULL
2000067	378	U2067	13E5-2067	1	148309	NULL
2000068	380	U2068	13E5-2068	1	148309	NULL
2000069	381	U2069	13E5-2069	1	148309	NULL
2000070	384	U2070	13E5-2070	1	148309	NULL
2000071	391	U2071	13E5-2071	1	148309	NULL
2000072	395	U2072	13E5-2072	1	148309	NULL
2000073	41	U2073	13E5-2073	1	148309	NULL
2000074	414	U2074	13E5-2074	1	148309	NULL
2000075	417	U2075	13E5-2075	1	148309	NULL
2000076	418	U2076	13E5-2076	1	148309	NULL
2000077	420	U2077	13E5-2077	1	148309	NULL
2000078	421	U2078	13E5-2078	1	148309	NULL
2000079	422	U2079	13E5-2079	1	148309	NULL
2000080	424	U2080	13E5-2080	1	148309	NULL
2000081	425	U2081	13E5-2081	1	148309	NULL
2000082	426	U2082	13E5-2082	1	148309	NULL
2000083	429	U2083	13E5-2083	1	148309	NULL
2000084	43	U2084	13E5-2084	1	148309	NULL
2000085	430	U2085	13E5-2085	1	148309	NULL
2000086	460	U2086	13E5-2086	1	148309	NULL
2000087	461	U2087	13E5-2087	1	148309	NULL
2000088	462	U2088	13E5-2088	1	148309	NULL
2000089	463	U2089	13E5-2089	1	148309	NULL
2000090	464	U2090	13E5-2090	1	148309	NULL
2000091	466	U2091	13E5-2091	1	148309	NULL
2000092	467	U2092	13E5-2092	1	148309	NULL
2000093	468	U2093	13E5-2093	1	148309	NULL
2000094	469	U2094	13E5-2094	1	148309	NULL
2000095	470	U2095	13E5-2095	1	148309	NULL
2000096	471	U2096	13E5-2096	1	148309	NULL
2000097	474	U2097	13E5-2097	1	148309	NULL
2000098	475	U2098	13E5-2098	1	148309	NULL
2000099	476	U2099	13E5-2099	1	148309	NULL
2000100	477	U2100	13E5-2100	1	148309	NULL
2000101	480	U2101	13E5-2101	1	148309	NULL
2000102	481	U2102	13E5-2102	1	148309	NULL
2000103	482	U2103	13E5-2103	1	148309	NULL
2000104	51	U2104	13E5-2104	1	148309	NULL
2000105	52	U2105	13E5-2105	1	148309	NULL
2000106	53	U2106	13E5-2106	1	148309	NULL
2000107	54	U2107	13E5-2107	1	148309	NULL
2000108	544	U2108	13E5-2108	1	148309	NULL
2000109	55	U2109	13E5-2109	1	148309	NULL
2000110	550	U2110	13E5-2110	1	148309	NULL
2000111	552	U2111	13E5-2111	1	148309	NULL
2000112	558	U2112	13E5-2112	1	148309	NULL
2000113	57	U2113	13E5-2113	1	148309	NULL
2000114	59	U2114	13E5-2114	1	148309	NULL
2000115	599	U2115	13E5-2115	1	148309	NULL
2000116	60	U2116	13E5-2116	1	148309	NULL
2000117	603	U2117	13E5-2117	1	148309	NULL
2000118	604	U2118	13E5-2118	1	148309	NULL
2000119	605	U2119	13E5-2119	1	148309	NULL
2000120	606	U2120	13E5-2120	1	148309	NULL
2000121	607	U2121	13E5-2121	1	148309	NULL
2000122	61	U2122	13E5-2122	1	148309	NULL
2000123	610	U2123	13E5-2123	1	148309	NULL
2000124	611	U2124	13E5-2124	1	148309	NULL
2000125	612	U2125	13E5-2125	1	148309	NULL
2000126	613	U2126	13E5-2126	1	148309	NULL
2000127	614	U2127	13E5-2127	1	148309	NULL
2000128	615	U2128	13E5-2128	1	148309	NULL
2000129	618	U2129	13E5-2129	1	148309	NULL
2000130	619	U2130	13E5-2130	1	148309	NULL
2000131	62	U2131	13E5-2131	1	148309	NULL
2000132	620	U2132	13E5-2132	1	148309	NULL
2000133	621	U2133	13E5-2133	1	148309	NULL
2000134	622	U2134	13E5-2134	1	148309	NULL
2000135	623	U2135	13E5-2135	1	148309	NULL
2000136	626	U2136	13E5-2136	1	148309	NULL
2000137	629	U2137	13E5-2137	1	148309	NULL
2000138	63	U2138	13E5-2138	1	148309	NULL
2000139	631	U2139	13E5-2139	1	148309	NULL
2000140	634	U2140	13E5-2140	1	148309	NULL
2000141	635	U2141	13E5-2141	1	148309	NULL
2000142	637	U2142	13E5-2142	1	148309	NULL
2000143	638	U2143	13E5-2143	1	148309	NULL
2000144	639	U2144	13E5-2144	1	148309	NULL
2000145	64	U2145	13E5-2145	1	148309	NULL
2000146	641	U2146	13E5-2146	1	148309	NULL
2000147	643	U2147	13E5-2147	1	148309	NULL
2000148	645	U2148	13E5-2148	1	148309	NULL
2000149	646	U2149	13E5-2149	1	148309	NULL
2000150	649	U2150	13E5-2150	1	148309	NULL
2000151	650	U2151	13E5-2151	1	148309	NULL
2000152	653	U2152	13E5-2152	1	148309	NULL
2000153	654	U2153	13E5-2153	1	148309	NULL
2000154	655	U2154	13E5-2154	1	148309	NULL
2000155	658	U2155	13E5-2155	1	148309	NULL
2000156	661	U2156	13E5-2156	1	148309	NULL
2000157	663	U2157	13E5-2157	1	148309	NULL
2000158	664	U2158	13E5-2158	1	148309	NULL
2000159	669	U2159	13E5-2159	1	148309	NULL
2000160	672	U2160	13E5-2160	1	148309	NULL
2000161	676	U2161	13E5-2161	1	148309	NULL
2000162	677	U2162	13E5-2162	1	148309	NULL
2000163	68	U2163	13E5-2163	1	148309	NULL
2000164	684	U2164	13E5-2164	1	148309	NULL
2000165	685	U2165	13E5-2165	1	148309	NULL
2000166	687	U2166	13E5-2166	1	148309	NULL
