START TABLE: tracking_data
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
TRACKING_DATA	SERIAL_NO	0	231	nvarchar	0
TRACKING_DATA	PROD_MODEL_NO	0	231	nvarchar	0
TRACKING_DATA	PANEL_ID	0	108	numeric	38
TRACKING_DATA	PATTERN_ID	0	108	numeric	38
TRACKING_DATA	BARCODE	0	231	nvarchar	0
TRACKING_DATA	SETUP_ID	0	108	numeric	38
TRACKING_DATA	TOP_BOTTOM	0	231	nvarchar	0
TRACKING_DATA	TIMESTAMP	0	56	int	10
TRACKING_DATA	IMPORT_FLAG	0	56	int	10
END METADATA:
START DATA:
SERIAL_NO	PROD_MODEL_NO	PANEL_ID	PATTERN_ID	BARCODE	SETUP_ID	TOP_BOTTOM	TIMESTAMP	IMPORT_FLAG
525716	 	1191186	1191182	 	17254	T	1452272970	0
059870FZ38	A635BA	1191187	1191183	A635BA      059870FZ38	17256	T	1452272970	0
525717	 	1191188	1191184	 	17254	T	1452272970	0
059880FZ38	A635BA	1191189	1191185	A635BA      059880FZ38	17256	T	1452272971	0
525718	 	1191190	1191186	 	17254	T	1452272971	0
059690FZ38	A635BA	1191191	1191187	A635BA      059690FZ38	17256	T	1452272971	0
525719	 	1191192	1191188	 	17254	T	1452272971	0
059700FZ38	A635BA	1191193	1191189	A635BA      059700FZ38	17256	T	1452272972	0
525720	 	1191194	1191190	 	17254	T	1452272972	0
059710FZ38	A635BA	1191195	1191191	A635BA      059710FZ38	17256	T	1452272972	0
525721	 	1191196	1191192	 	17254	T	1452272972	0
059720FZ38	A635BA	1191197	1191193	A635BA      059720FZ38	17256	T	1452272973	0
525722	 	1191198	1191194	 	17254	T	1452272973	0
060360FZ38	A635BA	1191199	1191195	A635BA      060360FZ38	17256	T	1452272973	0
525723	 	1191200	1191196	 	17254	T	1452272973	0
060370FZ38	A635BA	1191201	1191197	A635BA      060370FZ38	17256	T	1452273018	0
525724	 	1191202	1191198	 	17254	T	1452273018	0
060190FZ38	A635BA	1191203	1191199	A635BA      060190FZ38	17256	T	1452273018	0
525725	 	1191204	1191200	 	17254	T	1452273019	0
