START TABLE: panels
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
PANELS	PANEL_ID	0	108	numeric	38
PANELS	EQUIPMENT_ID	0	108	numeric	38
PANELS	NC_VERSION	0	108	numeric	38
PANELS	START_TIME	0	108	numeric	38
PANELS	END_TIME	0	108	numeric	38
PANELS	PANEL_EQUIPMENT_ID	1	108	numeric	38
PANELS	PANEL_SOURCE	0	108	numeric	38
PANELS	PANEL_TRACE	0	108	numeric	38
PANELS	STAGE_NO	0	108	numeric	38
PANELS	LANE_NO	0	108	numeric	38
PANELS	JOB_ID	0	108	numeric	38
PANELS	SETUP_ID	0	56	int	10
PANELS	TRX_PRODUCT_ID	0	231	nvarchar	0
PANELS	HUMIDITY	0	108	numeric	38
PANELS	TEMPERATURE	0	108	numeric	38
END METADATA:
START DATA:
PANEL_ID	EQUIPMENT_ID	NC_VERSION	START_TIME	END_TIME	PANEL_EQUIPMENT_ID	PANEL_SOURCE	PANEL_TRACE	STAGE_NO	LANE_NO	JOB_ID	SETUP_ID	TRX_PRODUCT_ID	HUMIDITY	TEMPERATURE
1191490	1014	148298	1377851479	1377851479	3591	2	2	1	2	NULL	17254	20130830033119776-05-1-2-525868--4--525868.u03	0	0
1191491	1014	148303	1377851501	1377851501	3592	2	2	1	1	NULL	17256	20130830033141808-05-1-1-525729-A635BA      061390FZ38-4-A635BA-061390FZ38.u03	0	0
1191492	1014	148298	1377851517	1377851517	3593	2	2	1	2	NULL	17254	20130830033157273-05-1-2-525869--4--525869.u03	0	0
1191493	1014	148303	1377851539	1377851539	3594	2	2	1	1	NULL	17256	20130830033219325-05-1-1-525730-A635BA      061400FZ38-4-A635BA-061400FZ38.u03	0	0
1191494	1014	148298	1377851554	1377851554	3595	2	2	1	2	NULL	17254	20130830033234632-05-1-2-525870--4--525870.u03	0	0
1191495	1014	148303	1377851576	1377851576	3596	2	2	1	1	NULL	17256	20130830033256542-05-1-1-525731-A635BA      061410FZ38-4-A635BA-061410FZ38.u03	0	0
1191496	1014	148298	1377851591	1377851591	3597	2	2	1	2	NULL	17254	20130830033311853-05-1-2-525871--4--525871.u03	0	0
1191497	1014	148303	1377851613	1377851613	3598	2	2	1	1	NULL	17256	20130830033333790-05-1-1-525732-A635BA      061420FZ38-4-A635BA-061420FZ38.u03	0	0
1191498	1014	148298	1377851629	1377851629	3599	2	2	1	2	NULL	17254	20130830033349103-05-1-2-525872--4--525872.u03	0	0
1191499	1014	148303	1377851650	1377851650	3600	2	2	1	1	NULL	17256	20130830033410954-05-1-1-525733-A635BA      061430FZ38-4-A635BA-061430FZ38.u03	0	0
1191500	1014	148298	1377851666	1377851666	3601	2	2	1	2	NULL	17254	20130830033426274-05-1-2-525873--4--525873.u03	0	0
1191501	1014	148303	1377851689	1377851689	3602	2	2	1	1	NULL	17256	20130830033449899-05-1-1-525734-A635BA      061450FZ38-4-A635BA-061450FZ38.u03	0	0
1191502	1014	148298	1377851773	1377851773	3603	2	2	1	2	NULL	17254	20130830033613638-05-1-2-525874--4--525874.u03	0	0
1191503	1014	148303	1377851798	1377851798	3604	2	2	1	1	NULL	17256	20130830033638819-05-1-1-525735-A635BA      061460FZ38-4-A635BA-061460FZ38.u03	0	0
1191504	1014	148298	1377851815	1377851815	3605	2	2	1	2	NULL	17254	20130830033655063-05-1-2-525875--4--525875.u03	0	0
1191505	1014	148303	1377851836	1377851836	3606	2	2	1	1	NULL	17256	20130830033716956-05-1-1-525736-A635BA      061290FZ38-4-A635BA-061290FZ38.u03	0	0
1191506	1014	148298	1377851852	1377851852	3607	2	2	1	2	NULL	17254	20130830033732307-05-1-2-525876--4--525876.u03	0	0
1191507	1014	148303	1377851874	1377851874	3608	2	2	1	1	NULL	17256	20130830033754449-05-1-1-525737-A635BA      061300FZ38-4-A635BA-061300FZ38.u03	0	0
1191508	1014	148298	1377851889	1377851889	3609	2	2	1	2	NULL	17254	20130830033809779-05-1-2-525877--4--525877.u03	0	0
1191509	1014	148303	1377851911	1377851911	3610	2	2	1	1	NULL	17256	20130830033831814-05-1-1-525738-A635BA      061310FZ38-4-A635BA-061310FZ38.u03	0	0
1191510	1014	148298	1377851927	1377851927	3611	2	2	1	2	NULL	17254	20130830033847341-05-1-2-525878--4--525878.u03	0	0
1191511	1014	148303	1377851949	1377851949	3612	2	2	1	1	NULL	17256	20130830033909312-05-1-1-525739-A635BA      061320FZ38-4-A635BA-061320FZ38.u03	0	0
1191531	1010	148299	1377851913	1377851913	3613	2	2	1	1	NULL	17256	20130830033833650-01-1-1-525749-A635BA      061230FZ38-4-A635BA-061230FZ38.u03	0	0
1191532	1010	148294	1377851941	1377851941	3614	2	2	1	2	NULL	17254	20130830033901323-01-1-2-525889--4--525889.u03	0	0
1191533	1010	148299	1377851958	1377851958	3615	2	2	1	1	NULL	17256	20130830033918525-01-1-1-525750-A635BA      061240FZ38-4-A635BA-061240FZ38.u03	0	0
1191534	1010	148294	1377851986	1377851986	3616	2	2	1	2	NULL	17254	20130830033946192-01-1-2-525890--4--525890.u03	0	0
1191535	1010	148299	1377852003	1377852003	3617	2	2	1	1	NULL	17256	20130830034003409-01-1-1-525751-A635BA      061250FZ38-4-A635BA-061250FZ38.u03	0	0
1191536	1010	148294	1377852031	1377852031	3618	2	2	1	2	NULL	17254	20130830034031921-01-1-2-525891--4--525891.u03	0	0
1191537	1010	148299	1377852050	1377852050	3619	2	2	1	1	NULL	17256	20130830034050572-01-1-1-525752-A635BA      061260FZ38-4-A635BA-061260FZ38.u03	0	0
1191538	1010	148294	1377852077	1377852077	3620	2	2	1	2	NULL	17254	20130830034117598-01-1-2-525892--4--525892.u03	0	0
1191539	1010	148299	1377852416	1377852416	3621	2	2	1	1	NULL	17256	20130830034656877-01-1-1-525753-A635BA      061270FZ38-4-A635BA-061270FZ38.u03	0	0
1191540	1010	148294	1377852438	1377852438	3622	2	2	1	2	NULL	17254	20130830034718351-01-1-2-525893--4--525893.u03	0	0
1191541	1010	148299	1377852455	1377852455	3623	2	2	1	1	NULL	17256	20130830034735619-01-1-1-525754-A635BA      061280FZ38-4-A635BA-061280FZ38.u03	0	0
1191542	1010	148294	1377852476	1377852476	3624	2	2	1	2	NULL	17254	20130830034756957-01-1-2-525894--4--525894.u03	0	0
1191543	1010	148299	1377852494	1377852494	3625	2	2	1	1	NULL	17256	20130830034814162-01-1-1-525755-A635BA      061090FZ38-4-A635BA-061090FZ38.u03	0	0
1191544	1010	148294	1377852515	1377852515	3626	2	2	1	2	NULL	17254	20130830034835645-01-1-2-525895--4--525895.u03	0	0
1191545	1010	148299	1377852532	1377852532	3627	2	2	1	1	NULL	17256	20130830034852910-01-1-1-525756-A635BA      061100FZ38-4-A635BA-061100FZ38.u03	0	0
1191546	1010	148294	1377852554	1377852554	3628	2	2	1	2	NULL	17254	20130830034914472-01-1-2-525896--4--525896.u03	0	0
1191547	1010	148299	1377852571	1377852571	3629	2	2	1	1	NULL	17256	20130830034931698-01-1-1-525757-A635BA      061110FZ38-4-A635BA-061110FZ38.u03	0	0
1191548	1010	148294	1377852593	1377852593	3630	2	2	1	2	NULL	17254	20130830034953300-01-1-2-525897--4--525897.u03	0	0
1191549	1010	148299	1377852610	1377852610	3631	2	2	1	1	NULL	17256	20130830035010546-01-1-1-525758-A635BA      062070FZ38-4-A635BA-062070FZ38.u03	0	0
1191550	1010	148294	1377852632	1377852632	3632	2	2	1	2	NULL	17254	20130830035032235-01-1-2-525898--4--525898.u03	0	0
1191551	1010	148299	1377852649	1377852649	3633	2	2	1	1	NULL	17256	20130830035049469-01-1-1-525759-A635BA      062080FZ38-4-A635BA-062080FZ38.u03	0	0
1191552	1010	148294	1377852671	1377852671	3634	2	2	1	2	NULL	17254	20130830035111191-01-1-2-525899--4--525899.u03	0	0
1191553	1010	148299	1377852688	1377852688	3635	2	2	1	1	NULL	17256	20130830035128402-01-1-1-525760-A635BA      061900FZ38-4-A635BA-061900FZ38.u03	0	0
1191554	1010	148294	1377852711	1377852711	3636	2	2	1	2	NULL	17254	20130830035151118-01-1-2-525900--4--525900.u03	0	0
1191555	1010	148299	1377852728	1377852728	3637	2	2	1	1	NULL	17256	20130830035208348-01-1-1-525761-A635BA      061920FZ38-4-A635BA-061920FZ38.u03	0	0
1191556	1010	148294	1377852750	1377852750	3638	2	2	1	2	NULL	17254	20130830035230904-01-1-2-525901--4--525901.u03	0	0
1191557	1010	148299	1377852769	1377852769	3639	2	2	1	1	NULL	17256	20130830035249557-01-1-1-525762-A635BA      061930FZ38-4-A635BA-061930FZ38.u03	0	0
1191558	1010	148294	1377852791	1377852791	3640	2	2	1	2	NULL	17254	20130830035311555-01-1-2-525902--4--525902.u03	0	0
1191559	1010	148299	1377852808	1377852808	3641	2	2	1	1	NULL	17256	20130830035328875-01-1-1-525763-A635BA      061940FZ38-4-A635BA-061940FZ38.u03	0	0
1191560	1010	148294	1377852833	1377852833	3642	2	2	1	2	NULL	17254	20130830035353441-01-1-2-525903--4--525903.u03	0	0
1191525	1011	148300	1377851913	1377851913	3643	2	2	1	1	NULL	17256	20130830033833076-02-1-1-525746-A635BA      061200FZ38-4-A635BA-061200FZ38.u03	0	0
1191526	1011	148295	1377851940	1377851940	3644	2	2	1	2	NULL	17254	20130830033900128-02-1-2-525886--4--525886.u03	0	0
1191527	1011	148300	1377851959	1377851959	3645	2	2	1	1	NULL	17256	20130830033919310-02-1-1-525747-A635BA      061210FZ38-4-A635BA-061210FZ38.u03	0	0
1191528	1011	148295	1377851984	1377851984	3646	2	2	1	2	NULL	17254	20130830033944665-02-1-2-525887--4--525887.u03	0	0
1191529	1011	148300	1377852002	1377852002	3647	2	2	1	1	NULL	17256	20130830034002709-02-1-1-525748-A635BA      061220FZ38-4-A635BA-061220FZ38.u03	0	0
1191530	1011	148295	1377852036	1377852036	3648	2	2	1	2	NULL	17254	20130830034036660-02-1-2-525888--4--525888.u03	0	0
1191531	1011	148300	1377852376	1377852376	3649	2	2	1	1	NULL	17256	20130830034616547-02-1-1-525749-A635BA      061230FZ38-4-A635BA-061230FZ38.u03	0	0
1191532	1011	148295	1377852399	1377852399	3650	2	2	1	2	NULL	17254	20130830034639130-02-1-2-525889--4--525889.u03	0	0
1191533	1011	148300	1377852418	1377852418	3651	2	2	1	1	NULL	17256	20130830034658633-02-1-1-525750-A635BA      061240FZ38-4-A635BA-061240FZ38.u03	0	0
1191534	1011	148295	1377852440	1377852440	3652	2	2	1	2	NULL	17254	20130830034720771-02-1-2-525890--4--525890.u03	0	0
